id,topic,statement_ru,statement_en,veracity
0,vitamins,Здоровым детям обычно не нужно принимать поливитамины,Healthy children usually do not need to take multivitamins.,true
1,vitamins,Большие дозы витаминов могут быть токсичными,Large doses of vitamins can be toxic.,true
2,vitamins,У витаминов нет срока годности,Vitamin supplements have no expiration date.,false
3,vitamins,"Витамины, полученные из еды, лучше, чем витамины в таблетках",Vitamins from food are better than vitamins in supplements.,disputed
4,vitamins,Витамин K полезен для здоровья костей,Vitamin K is good for bone health.,true
5,vitamins,"Чтобы получить норму витаминов группы К, достаточного включить зелень в свой рацион","To get the required amount of vitamin K, it is enough to include greens in your diet.",disputed
6,vitamins,Укол витамина К способен вызвать лейкемию у ребенка,Vitamin K injection can cause leukemia in children.,false
7,lifestyle,"Глазирователи, которыми разрешено смазывать фрукты перед продажей, безвредны для здоровья",Glazing agents that are permitted to be used to coat fruit before sale are harmless to health.,true
8,lifestyle,"Ранние арбузы могут содержать нитраты, опасные для здоровья",Early watermelons may contain nitrates that are hazardous to health.,true
9,lifestyle,Бананы не нужно мыть перед употреблением в пищу,Bananas do not need to be washed before eating.,false
10,,"Даже разрешенные химикаты, которыми смазывают фрукты для продления срока их хранения, опасны для здоровья",Even approved chemicals used to coat fruit to extend its shelf life are hazardous to health.,false
11,lifestyle,Овощи достаточно тщательно промыть в проточной чистой воде,It is enough to thoroughly wash the vegetables in clean running water.,true
12,lifestyle,"Фрукты, которые долго хранились, менее витаминные, чем сезонные",Fruits that have been stored for a long time contain fewer vitamins than seasonal fruits.,disputed
13,lifestyle,Сухофрукты не нужно мыть перед употреблением в пищу,Dried fruit does not need to be washed before eating.,false
14,lifestyle,Отказ от курения нормализует уровень холестерина,Quitting smoking normalizes cholesterol levels,true
15,lifestyle,Высокий уровень холестерина обычно не имеет симптомов,High cholesterol usually comes with no symptoms.,true
16,lifestyle,Высокий уровень холестерина обычно сопровождается явными симптомами,High cholesterol usually comes with obvious symptoms.,disputed
17,lifestyle,Любой холестерин вреден,Any type of cholesterol is harmful.,false
18,lifestyle,Здоровый образ жизни помогает поддерживать нормальный уровень холестерина.,A healthy lifestyle helps maintain normal cholesterol levels.,disputed
19,lifestyle,Даже при нормальном весе уровень холестерина может быть высоким,"Even with a normal weight, cholesterol levels can be high.",true
20,lifestyle,Людям до 40 лет не нужно проверять уровень холестерина,People under 40 do not need to check their cholesterol levels.,false
21,lifestyle,"Нужно избегать продуктов, содержащих холестерин",You should avoid foods that contain cholesterol.,false
22,lifestyle,Сахарозаменители снижают риск возникновения кариеса,Sugar substitutes reduce the risk of tooth decay,disputed
23,lifestyle,Сахарозаменитель можно использовать как средство для похудения,Sugar substitutes can be used as a weight loss aid.,disputed
24,lifestyle,Сахарозаменители вызывают диабет,Sugar substitutes cause diabetes.,disputed
25,vaccine,Серьезные побочные эффекты вакцин чрезвычайно редки,Serious side effects from vaccines are extremely rare.,true
26,,"Инфекции, ставшие редкими из-за вакцинации, появятся вновь, если не прививать население",Infections that have become rare due to vaccination will reappear if the population is not vaccinated.,true
27,vaccine,"В вакцинах не будет необходимости, когда вырастет уровень санитарии и гигиены",Vaccines will no longer be necessary when sanitation and hygiene levels improve.,false
28,vaccine,"Большинство вакцин вызывают ряд опасных побочных эффектов, которые еще не известны.",Most vaccines cause a number of dangerous side effects that are not yet known.,false
29,vaccine,Одновременное введение нескольких вакцин безопасно для иммунной системы ребенка,Administering multiple vaccines at the same time is safe for a child's immune system.,true
30,vaccine,Возбудители инфекций могут пересекать границы государств,Infectious agents can cross national borders.,true
31,vaccine,"Если нет пандемий, то нет смысла прививаться от болезней.","If there are no pandemics, then there is no point in getting vaccinated against diseases.",false
32,vaccine,Одновременное введение ребенку более одной вакцины пагубно влияет на его иммунную систему,Administering more than one vaccine to a child at the same time can have a detrimental effect on their immune system.,false
33,vaccine,"В одной дозе вакцины ртути меньше, чем городской ребенок принимает с пищей, водой и воздухом в течение дня","One dose of the vaccine contains less mercury than a city child consumes from food, water and air during the day.",true
34,vaccine,Многие инфекции могут распространяться независимо от степени нашей чистоплотности,Many infections can spread regardless of how clean we are.,true
35,vaccine,"Лучше получить иммунитет в результате болезни, чем вакцинации.",It is better to gain immunity as a result of illness than vaccination.,false
36,vaccine,Вакцина против кори-паротита-краснухи не вызывает аутизм,The measles-mumps-rubella vaccine does not cause autism.,true
