human_id,topic,intended_veracity,statement_ru,expert_1,expert_2,expert_3,physician_1,physician_2,physician_3,physician_4,physician_5,physician_6
1,vitamins,True,Здоровым детям не нужно принимать поливитамины,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0
2,vitamins,True,Большие дозы витаминов могут быть токсичными,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
3,vitamins,False,У витаминов нет срока годности,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0
4,vitamins,False,"Витамины, полученные из еды, лучше, чем витамины в таблетках",3.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0
5,vitamins,True,Витамин K полезен для здоровья костей ,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0
6,vitamins,True,Прием витамина К может спровоцировать расстройство желудка,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0
7,vitamins,False,"Чтобы получить норму витаминов группы К, достаточного включить зелень в свой рацион",2.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0
8,vitamins,False,Укол витамина К способен вызвать лейкемию у ребенка,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
9,lifestyle,True,"Глазирователи, которыми смазывают фрукты перед продажей, безвредны для здоровья",2.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0,3.0
10,lifestyle,True,"Ранние арбузы могут содержать нитраты, опасные для здоровья",2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0
11,lifestyle,False,Бананы не нужно мыть перед употреблением в пищу,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
12,lifestyle,False,"Чтобы фрукты дольше хранились, их смазывают опасными для здоровья химическими составами",2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0
13,lifestyle,True,Овощи достаточно тщательно промыть в проточной чистой воде,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14,lifestyle,True,"Фрукты, которые долго хранились, менее витаминные, чем сезонные",3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
15,lifestyle,False,Сухофрукты не нужно мыть перед употреблением в пищу,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16,lifestyle,False,"Чтобы смыть химикаты с поверхности фруктов, их нужно мыть в горячей воде с моющими средствами.",1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0
17,lifestyle,True,Отказ от курения снижает уровень холестерина,3.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0
18,lifestyle,True,Высокий уровень холестерина обычно не имеет симптомов,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0
19,lifestyle,False,Высокий уровень холестерина обычно сопровождается явными симптомами,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
20,lifestyle,False,Любой холестерин вреден,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,lifestyle,True,Здоровый образ жизни способствует поддержанию нормального уровня холестерина.,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0
22,lifestyle,True,Даже при нормальном весе уровень холестерина может быть высоким,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
