stmt,true_label,m_disp_rate,m_err_rate,key,fr_unanimous,fr_label,h_modal,h_agree,h_disp_rate,h_entropy
0,true,0.38516746411483255,0.38995215311004783,здоровым детям обычно не нужно принимать поливитамины,True,true,true,0.6666666666666666,0.2222222222222222,0.7725068857142601
1,true,0.133492252681764,0.13587604290822408,большие дозы витаминов могут быть токсичными,True,true,true,0.8888888888888888,0.1111111111111111,0.31752065714278016
2,false,0.35125448028673834,0.3930704898446834,у витаминов нет срока годности,True,false,false,0.625,0.125,0.8194483718728035
3,disputed,0.9131985731272295,0.08680142687277051,"витамины, полученные из еды, лучше, чем витамины в таблетках",True,disputed,true,0.4444444444444444,0.3333333333333333,0.965633607142825
4,true,0.5987951807228916,0.6012048192771084,витамин k полезен для здоровья костей,True,disputed,true,0.5555555555555556,0.1111111111111111,0.8527924884900404
5,disputed,0.867699642431466,0.13230035756853398,"чтобы получить норму витаминов группы к, достаточного включить зелень в свой рацион",True,disputed,true,0.5,0.25,0.946394630357186
6,false,0.3010752688172043,0.3213859020310633,укол витамина к способен вызвать лейкемию у ребенка,True,false,false,1.0,0.0,-0.0
7,true,0.8948626045400239,0.9044205495818399,"глазирователи, которыми разрешено смазывать фрукты перед продажей, безвредны для здоровья",True,disputed,true,0.625,0.375,0.6021808102656678
8,true,0.9508393285371702,0.960431654676259,"ранние арбузы могут содержать нитраты, опасные для здоровья",True,disputed,disputed,0.3333333333333333,0.3333333333333333,0.9999999999999998
9,false,0.7422062350119905,0.8285371702637889,бананы не нужно мыть перед употреблением в пищу,False,disputed,false,0.8888888888888888,0.1111111111111111,0.31752065714278016
11,true,0.7976190476190477,0.8071428571428572,овощи достаточно тщательно промыть в проточной чистой воде,True,disputed,true,1.0,0.0,-0.0
12,disputed,0.8573141486810552,0.14268585131894485,"фрукты, которые долго хранились, менее витаминные, чем сезонные",True,disputed,true,0.7777777777777778,0.1111111111111111,0.6223659728744494
13,false,0.6774193548387096,0.7371565113500598,сухофрукты не нужно мыть перед употреблением в пищу,False,false,false,0.8888888888888888,0.0,0.31752065714278016
14,true,0.7817745803357314,0.7829736211031175,отказ от курения нормализует уровень холестерина,True,disputed,true,0.6666666666666666,0.1111111111111111,0.7725068857142601
15,true,0.21785714285714286,0.2523809523809524,высокий уровень холестерина обычно не имеет симптомов,True,true,true,0.6666666666666666,0.2222222222222222,0.7725068857142601
