statement,true_label,h_agree,h_disp_rate
Овощи достаточно тщательно промыть в проточной чистой воде,true,1.0,0.0
Витамин D снижает артериальное давление.,false,0.7777777777777778,0.1111111111111111
Отвар шиповника повышает уровень сахара в крови,false,0.8571428571428571,0.1428571428571428
Употребление алоэ может спровоцировать рак пищевода,false,1.0,0.0
Регулярное употребление картофеля снижает уровень артериального давления.,false,1.0,0.0
Картофель вреден для пищеварительной системы,false,0.8888888888888888,0.1111111111111111
Контрастный душ ускоряет выздоровление при вирусных заболеваниях,false,0.8888888888888888,0.0
Контрастный душ ослабляет иммунитет,false,1.0,0.0
Все продукты на основе ГМО проходят тщательную проверку,true,0.7777777777777778,0.0
Непереносимость глютена ведет к нарушению пищеварения,true,0.8888888888888888,0.1111111111111111
Регулярное употребление протеина ускоряет рост мышечной массы у спортсменов,true,0.8888888888888888,0.1111111111111111
